name,abbr,liver,kidney,smiles,inchikey,connectivity
ethinylestradiol,EE,True,True,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN
ethionamide,ETH,True,False,CCC1=NC=CC(=C1)C(=S)N,AEOCXXJPGCBFJA-UHFFFAOYSA-N,AEOCXXJPGCBFJA
ethionine,ET,True,True,CCSCC[C@@H](C(=O)O)N,GGLZPLKKBSSKCX-YFKPBYRVSA-N,GGLZPLKKBSSKCX
etoposide,ETP,True,False,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,VJJPUSNTGOMMGY
famotidine,FAM,True,False,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,XUFQPHANEAPEMJ-UHFFFAOYSA-N,XUFQPHANEAPEMJ
fenofibrate,FFB,True,False,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,YMTINGFKWWXKFG-UHFFFAOYSA-N,YMTINGFKWWXKFG
fluoxetine hydrochloride,FLX,True,False,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,RTHCYVBBDHJXIQ
fluphenazine,FP,True,False,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,PLDUPXSUYLZYBN-UHFFFAOYSA-N,PLDUPXSUYLZYBN
flutamide,FT,True,False,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,MKXKFYHWDHIYRV-UHFFFAOYSA-N,MKXKFYHWDHIYRV
furosemide,FUR,True,False,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,ZZUFCTLCJUWOSV
