sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393959,S011002-083_CLOFIBRATE_500 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96598.CEL,Clofibrate,500 mg/kg,7 d,Corn Oil,Liver,False,KNHUKKLJHYUCFP,True,True,drugmatrix_liver
GSM1393960,S011106-259_CYTARABINE_487 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96599.CEL,Cytarabine,487 mg/kg,3 d,Saline,Liver,False,UHDGCWIWMRVCDJ,True,True,drugmatrix_liver
GSM1393961,S011002-268_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96600.CEL,Allyl Alcohol,25 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393962,S020122-269_BETA-ESTRADIOL 3-BENZOATE_0.25 mg/kg_SUBCUTANEOUS_CORN OIL_1 d_Male_96602.CEL,Beta-Estradiol 3-Benzoate,0.25 mg/kg,1 d,Corn Oil,Liver,False,UYIFTLBWAOGQBI,True,True,drugmatrix_liver
GSM1393963,S020506-285_EPIRUBICIN_2.7 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96603.CEL,Epirubicin,2.7 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393964,CVD040520-020_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_5 d_Male_96604.CEL,Allyl Alcohol,16 mg/kg,5 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393965,S011002-030_INTRAPERITONEAL_SALINE_1 d_Male_96606.CEL,,0 mg/kg,1 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393966,S011106-281_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96607.CEL,Doxorubicin,3 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393967,CVD040520-016_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96608.CEL,Allyl Alcohol,16 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393968,S011002-272_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_3 d_Male_96609.CEL,Allyl Alcohol,25 mg/kg,3 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393969,S011002-244_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96610.CEL,Allyl Alcohol,16 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393970,S011106-237_INTRAVENOUS_SALINE_5 d_Male_96611.CEL,,0 mg/kg,5 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393971,S011002-274_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_7 d_Male_96612.CEL,Allyl Alcohol,25 mg/kg,7 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393972,S011002-269_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96613.CEL,Allyl Alcohol,25 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393973,S011002-084_CLOFIBRATE_500 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96614.CEL,Clofibrate,500 mg/kg,7 d,Corn Oil,Liver,False,KNHUKKLJHYUCFP,True,True,drugmatrix_liver
GSM1393974,CVD040520-017_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96615.CEL,Allyl Alcohol,16 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393975,S011106-260_CYTARABINE_487 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96616.CEL,Cytarabine,487 mg/kg,3 d,Saline,Liver,False,UHDGCWIWMRVCDJ,True,True,drugmatrix_liver
GSM1393976,S011106-269_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96617.CEL,Doxorubicin,0.65 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393977,S011106-273_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96618.CEL,Doxorubicin,0.65 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393978,S020122-270_BETA-ESTRADIOL 3-BENZOATE_0.25 mg/kg_SUBCUTANEOUS_CORN OIL_1 d_Male_96619.CEL,Beta-Estradiol 3-Benzoate,0.25 mg/kg,1 d,Corn Oil,Liver,False,UYIFTLBWAOGQBI,True,True,drugmatrix_liver
